Points_0,Points_1,Points_2,U_0,U_1,U_2
0.019742,0.0111067,-0.00771923,0.0929096,-0.130299,0.331872
0.0201314,0.0106847,-0.00771923,0.11917,-0.160375,0.319154
0.0193288,0.0106867,-0.00771923,0.0633043,-0.162105,0.327868
0.0192394,0.0106867,-0.00771923,0.0573836,-0.161014,0.327248
0.019744,0.0103001,-0.00771923,0.0923669,-0.184646,0.309292
0.0197444,0.0101811,-0.00771923,0.0917467,-0.189447,0.303175
0.0192408,0.0101811,-0.00771923,0.0582794,-0.193113,0.309122
0.0210779,0.00967238,-0.00771923,0.167668,-0.204961,0.242163
0.0207557,0.00916843,-0.00771923,0.142536,-0.235065,0.226055
0.0207551,0.00934623,-0.00771923,0.147955,-0.230066,0.236721
0.021261,0.00967123,-0.00771923,0.172075,-0.198083,0.234179
0.0212629,0.00916464,-0.00771923,0.150271,-0.20607,0.201727
0.0207538,0.0100139,-0.00771923,0.16285,-0.20048,0.284119
0.0204154,0.00967486,-0.00771923,0.137903,-0.221423,0.274094
0.0202502,0.00967493,-0.00771923,0.128872,-0.222504,0.280751
0.0202518,0.00916879,-0.00771923,0.106771,-0.222848,0.226116
0.0200932,0.00967576,-0.00771923,0.120381,-0.224424,0.282153
0.0197465,0.00917166,-0.00771923,0.0898305,-0.246422,0.246411
0.0197461,0.00932661,-0.00771923,0.0922717,-0.241616,0.257416
0.0193782,0.00967757,-0.00771923,0.0692491,-0.223125,0.284514
0.0197445,0.0100528,-0.00771923,0.0931956,-0.198557,0.298614
0.0192413,0.00967749,-0.00771923,0.0598441,-0.221376,0.28463
0.0192425,0.00917146,-0.00771923,0.0540945,-0.23995,0.240463
0.019109,0.009678,-0.00771923,0.0523379,-0.225122,0.287116
0.0187376,0.00917364,-0.00771923,0.0261102,-0.258545,0.258402
0.0187374,0.00931194,-0.00771923,0.0265401,-0.253459,0.267787
0.0191534,0.010687,-0.00771923,0.0527119,-0.162419,0.328585
0.0187364,0.010183,-0.00771923,0.0270549,-0.204646,0.324804
0.0187363,0.0102801,-0.00771923,0.0269775,-0.198718,0.326973
0.0182326,0.0101821,-0.00771923,-0.000325301,-0.195606,0.312259
0.0183565,0.00967868,-0.00771923,0.00633263,-0.22798,0.290731
0.0187365,0.0100779,-0.00771923,0.0272224,-0.211019,0.319137
0.0182326,0.00967841,-0.00771923,0.000172559,-0.225305,0.289625
0.0182327,0.00917252,-0.00771923,-0.00241837,-0.248909,0.25238
0.0197482,0.00831163,-0.00771923,0.0733634,-0.255519,0.169098
0.0192429,0.00866821,-0.00771923,0.0504119,-0.256249,0.195275
0.0194041,0.0086683,-0.00771923,0.0591851,-0.258105,0.193686
0.0197487,0.0081614,-0.00771923,0.0704462,-0.25232,0.161191
0.0192445,0.00816247,-0.00771923,0.0440407,-0.243622,0.161812
0.0197466,0.00901171,-0.00771923,0.0872882,-0.251012,0.23005
0.0202519,0.00866511,-0.00771923,0.103284,-0.256073,0.192006
0.0200828,0.00866617,-0.00771923,0.096662,-0.258434,0.191586
0.0204242,0.008665,-0.00771923,0.110292,-0.254234,0.187218
0.0207557,0.00899072,-0.00771923,0.137103,-0.239714,0.210062
0.021263,0.00866008,-0.00771923,0.145284,-0.23651,0.174411
0.0210877,0.00866159,-0.00771923,0.139303,-0.241089,0.17519
0.0214381,0.0086593,-0.00771923,0.1511,-0.232145,0.168476
0.0217691,0.00916286,-0.00771923,0.183736,-0.210957,0.194299
0.0217692,0.00898124,-0.00771923,0.177147,-0.214642,0.181571
0.0217732,0.00830614,-0.00771923,0.146376,-0.217754,0.141603
0.0217748,0.00814368,-0.00771923,0.139121,-0.215303,0.135992
0.0212669,0.00814774,-0.00771923,0.112695,-0.213053,0.138698
0.0221086,0.00865112,-0.00771923,0.163448,-0.200232,0.143716
0.0217757,0.00799101,-0.00771923,0.132038,-0.212395,0.126705
0.0221675,0.00762278,-0.00771923,0.114155,-0.186172,0.0965104
0.0136914,0.012357,-0.00771923,-0.277969,-0.0347495,0.209559
0.0131843,0.0126995,-0.00771923,-0.257865,-0.0110567,0.163847
0.0133206,0.0126993,-0.00771923,-0.263629,-0.0113136,0.173463
0.0136905,0.012194,-0.00771923,-0.276369,-0.0439682,0.211965
0.0131812,0.0121936,-0.00771923,-0.249675,-0.0368262,0.16966
0.0136914,0.0130471,-0.00771923,-0.277168,0.00553035,0.204067
0.0141986,0.0126984,-0.00771923,-0.250036,-0.013372,0.245609
0.0140485,0.0126985,-0.00771923,-0.25807,-0.0129642,0.233802
0.0136906,0.0132024,-0.00771923,-0.275487,0.012359,0.204247
0.0141968,0.0132016,-0.00771923,-0.244639,0.00913134,0.245917
0.0140525,0.013705,-0.00771923,-0.251524,0.0370732,0.222644
0.0136909,0.0133565,-0.00771923,-0.274481,0.0189715,0.199881
0.0141978,0.0137047,-0.00771923,-0.24504,0.037361,0.235189
0.0131804,0.0132037,-0.00771923,-0.248966,0.00674483,0.165406
0.0126743,0.0131177,-0.00771923,-0.253356,0.00403928,0.129714
0.0130631,0.0126996,-0.00771923,-0.258248,-0.011172,0.155417
0.0126735,0.0132051,-0.00771923,-0.251823,0.00684042,0.130548
0.0121594,0.0127118,-0.00771923,-0.244767,-0.0096266,0.106573
0.012151,0.0132062,-0.00771923,-0.232811,0.00369083,0.110335
0.012676,0.0122905,-0.00771923,-0.26453,-0.0327741,0.137043
0.012156,0.0121954,-0.00771923,-0.245114,-0.0309373,0.116159
